'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_debt_5','total_debt_34','total_wu'
2025,'B2',0.1,1720.8325200037068,25640.947309455263,3333.106949646023,461.3239806287677,43691.50191896769,90.40495906906503,2530.2944521775757,8054.432459240637,3007.5234703537903,11741.743950168167,801.7034548719228,0.0,0.0,4228.027179564344,74939.80316079665,21425.99930567074,101073.81542453826,16138.183869319066,84935.63155523242,12484121.599998785
2026,'B2',0.1,1720.8325200037068,25752.238354374782,3420.0530784892608,461.3239806287677,43691.50191896769,91.56424078697503,2723.894499068518,8070.662403291375,3139.6815861955115,12103.439846156036,947.7729513285763,0.0,0.0,4248.894250486723,74939.80316079665,22454.28218945683,102122.96537924172,17187.333824028727,84935.63155523242,12475887.799998784
2027,'B2',0.1,2164.052367007106,26065.50892686442,3527.4534460810423,543.7025385796575,43691.50191896769,262.45381828747486,3123.024413647438,8937.377653844773,4471.533224933494,12667.326876636498,1094.8741761814722,0.0,0.0,5656.171307483872,75684.88171869882,24720.934973197443,106548.80936096681,20198.212104068014,86350.59725693711,12466694.799998786
2028,'B2',0.1,2624.556365558301,37885.30571576648,3597.8563130274656,607.1805333674224,64185.34887302174,276.0529204467648,3533.7748406491837,13651.783226915375,5726.185869449394,15787.682302470768,1224.1384564765444,0.0,0.0,6863.334544029249,110233.40075438122,31366.71863333621,149099.86541703987,23237.076836364384,125862.78858076196,12453834.299998786
2029,'B2',0.1,2896.012931439509,38185.518273795766,3597.8563130274656,670.4437160939876,64185.34887302174,277.2031601327023,3937.5089704131838,14254.50882234677,5970.463707427557,16358.201186695906,1225.288696162482,0.0,0.0,7565.782467973134,110233.40075438122,33109.20686054302,151558.35465042945,25593.91795284716,125964.4366976839,12444707.599998785
2030,'B2',0.1,3163.803329196712,38288.07629846882,3641.158590111609,751.3506022248873,64185.34887302174,278.3426937401798,4338.62480024525,14983.810331132927,6200.180481445428,16939.363326509872,1364.3117962747322,0.0,0.0,8372.845654282315,110233.40075438122,34864.73321172785,154134.37112221355,28082.65935157992,126051.71177076701,12034783.399999198
2031,'B2',0.1,3456.4262345573766,38288.07629846882,3641.158590111609,782.743097819138,64185.34887302174,278.3426937401798,4338.62480024525,15286.523681505905,6878.346947463095,16939.363326509872,1473.064370297661,0.0,0.0,8972.93553647248,110708.97687274222,35189.50455481323,155548.01891358424,28941.46833819363,126606.5505755212,11976667.449999211
2032,'B2',0.1,3701.5303561736264,49457.86815536087,3686.222576597108,907.3268842093753,81947.32531321867,279.4418153617773,4791.368565845065,16586.940256495065,7099.439747643678,20896.935312788086,1604.958964889365,0.0,0.0,9720.005203836374,138825.09123779237,41614.627274205355,190959.3579483735,31425.483203007137,159533.87474549055,11945710.999999218
2033,'B2',0.1,3901.9527998024487,49691.69433959509,3686.222576597108,983.832225594587,81947.32531321867,279.4418153617773,5127.561051932122,17077.22096537161,7206.116209575148,21429.240082425476,1607.114044928385,0.0,0.0,10152.098751659803,138825.09123779237,43160.89720220184,192937.7214241718,33403.846678827606,159533.87474549055,11930729.949999223
2034,'B2',0.1,4119.861820463938,49691.69433959509,3686.222576597108,1048.3586831690961,81947.32531321867,279.4418153617773,5312.6779384163965,17078.278776151517,7403.146864382556,21431.355703985293,1608.171855708295,0.0,0.0,10474.295660712049,138825.09123779237,43501.28255185594,193606.53568682578,33972.94887841828,159633.58680854604,11922765.749999223
