'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2025,'B2',0.5,16247.462499998152,42656.177749997165,34542.611999997345,9930.69525000075,77308.39424999447,16139.638499999613,12529.057749999974,49185.3327499949,23412.740999996393,24408.45974999776,22821.75849999896,26902.337749998696,14506.53950000038,47453.741749991976,182226.9807499955,137887.3712499856,370591.2072500526,507879.7939998421,1809902.9857606764
2026,'B2',0.5,16338.721999998132,42587.84874999722,34271.34699999744,9946.777250000749,77417.99499999447,16139.832749999614,12539.291749999988,49406.80974999478,23420.864499996405,24689.542999997782,22810.27649999897,26912.491499998698,14506.53950000038,47539.89299999199,182508.5517499956,137916.7809999857,370988.33925005235,554333.3820010235,1996118.3767622279
2027,'B2',0.5,15735.295249998317,42465.0464999973,34307.248499997426,9854.671250000762,77518.06524999447,15931.043999999698,12295.137749999982,48480.451749994936,21982.681749996555,24356.586249997756,22775.622749998995,26920.246999998697,14506.53950000038,45846.51049999238,181840.40874999602,136425.5354999862,367128.6375000492,598184.6100027554,2181266.4322609445
2028,'B2',0.5,15748.07399999831,30166.059999998193,34337.57124999743,9857.595250000759,55425.873999996365,16130.366499999618,12268.118249999983,43749.95999999502,22077.277499996537,21495.972749997945,22787.820749998984,26924.5262499987,14509.67750000038,46082.13724999236,144626.04174999092,131920.87024998647,325478.89400004206,642005.1360044861,2324975.533507314
2029,'B2',0.5,15943.981999998246,42625.009499997315,34616.520249997346,9856.34725000076,77727.73624999444,16137.410749999613,12271.745749999985,49231.5577499947,23434.028249996416,24388.750249997756,23026.12674999887,26931.5419999987,14509.67750000038,46665.36524999223,183625.8349999964,137393.05124998587,370700.4342500526,686843.214006257,2513055.2962525627
2030,'B2',0.5,15935.825499998255,36509.727600001905,34377.88999999742,9849.037250000763,72646.85639999753,16135.403249999614,12274.669749999981,48646.06579999503,23399.418149996516,24276.553399997752,22809.750749998977,26935.4197499987,14512.815500000379,46442.6739999923,174120.9562999937,134729.6200499884,358309.4331002127,730928.0696079732,2690137.3449004134
2031,'B2',0.5,15956.908999998246,36705.01205000193,34642.74474999735,9920.14950000075,72742.02329999754,16132.736749999613,12781.983749999965,49370.34749999482,22806.319649996574,25340.30459999786,22813.610999998975,26938.557749998694,14515.21375000038,46779.1152499922,174153.29014999387,136717.32519998812,360665.9133502198,777567.0392097863,2867168.1059982716
2032,'B2',0.5,16010.156499998231,26054.66060000006,34381.65874999743,9808.76825000075,53798.228449997696,16125.002999999613,12184.89424999998,47887.75179999478,23380.397649996543,20860.225749997982,22810.686999998976,26938.557749998694,14517.612000000376,46476.1789999923,144964.9643499993,130384.44464998758,324758.60175014276,821505.4024115008,3011137.803446271
2033,'B2',0.5,16127.116499998203,36378.490400001916,34673.73449999735,9861.883500000758,72911.59714999757,16132.592749999614,12236.657749999988,49475.61544999474,23544.245899996513,24326.84619999776,23028.524999998874,26938.557749998694,14520.750000000377,46901.400999992205,175138.85224999377,135093.24609998803,360156.61285021465,866235.0000132466,3189838.8752940954
2034,'B2',0.5,15963.987999998244,36781.25605000197,34683.26499999735,9863.34550000076,72993.55944999759,16129.267249999615,12480.811749999964,50427.35364999443,23413.699399996545,25340.30459999786,23029.98699999887,26940.955999998696,14523.148250000377,47047.677999992105,175737.80894999334,136776.20294998813,362570.9419002259,913204.3816150727,3368846.286291916
2035,'B2',0.5,15740.301999998315,36385.98625000193,34692.79549999735,9863.345500000758,73079.33394999758,16127.805249999616,12267.359749999983,49627.94009999459,23516.957149996524,24391.174199997764,23033.124999998872,26940.955999998696,14523.148250000377,46309.58224999232,175767.5056999936,135090.02744998803,360190.2289002143,957380.4660167975,3548399.840389727
2036,'B2',0.5,15986.533499998239,36417.58745000191,34425.628749997435,9872.117500000759,73162.2492999976,16130.729249999613,12232.27174999998,50531.95109999432,21984.537049996667,24280.354599997754,22803.590999998978,26940.955999998696,14526.286250000378,47046.12799999211,174710.50599999336,134528.9074999883,359294.79350021033,1001922.9276185365,3726811.206887571
2037,'B2',0.5,15770.157499998302,36447.11985000192,34402.995249997446,9851.649500000762,73213.7139999976,16132.191249999614,12268.821749999968,49811.57009999443,21913.898399996684,24319.243799997763,22822.596999998976,26944.093999998695,14529.424250000378,46079.745999992374,174795.30479999346,134529.31234998832,358427.4766502092,1045481.1708202355,3905420.792835412
2038,'B2',0.5,15771.619499998309,36415.248250001925,34453.84099999743,9851.649500000756,73256.6012499976,16132.191249999614,12277.593749999985,49872.351049994395,23553.562149996516,24352.577399997765,22843.064999998962,26944.093999998695,14529.424250000378,46135.13699999236,176290.34564999337,134805.22219998817,360253.81835021486,1089052.5720218339,4085921.087383207
2039,'B2',0.5,15557.579749998322,26280.824200000035,30389.79774999795,9744.385000000737,52152.03669999762,15951.991749999672,12159.33674999999,43463.83154999449,22095.504899996668,20354.183149998004,22840.520249998957,26944.093999998695,14529.424250000378,45674.9484999924,134666.9910999999,129604.40164998769,312463.5100000773,1132541.5164234266,4218780.7925831145
2040,'B2',0.5,15809.631499998293,34350.99005000259,30681.23770000025,8362.5492000005,68897.36020000139,16130.729249999613,10098.971450000732,46294.030800000524,22295.44184999795,20125.940500000794,21479.834199999546,21679.7667999998,12818.276149999978,46027.35279999282,163437.5794499883,116596.31835000259,329024.7596498714,1172545.3452231907,4386802.964830631
2041,'B2',0.5,15423.889249998361,24817.310900000568,26885.747800000303,8259.310150000512,51559.052049999984,15983.721499999674,10082.933450000728,44890.8397500002,20937.95009999806,17181.30255000045,21476.979249999553,21687.874399999797,12818.276149999978,45314.9634999929,131904.00315000225,112216.37820000127,292005.1872997208,1212519.056822949,4517910.576428922
2042,'B2',0.5,15762.847499998312,34388.069850002605,30736.80890000026,8366.177600000503,68946.91880000138,16109.936999999622,10112.641450000729,45849.47505000009,21032.613849998037,20954.00125000093,21479.512999999548,21687.553199999795,12820.786549999979,45899.23844999283,162925.12904998846,116444.2198000027,328247.3439998654,1252503.2948227192,4685290.961226402
2043,'B2',0.5,15491.844749998338,24280.609150000484,26883.863700000322,8276.038050000505,49598.69200000024,15903.476499999708,10091.058850000722,37934.86279999738,20903.918449998037,17621.78020000055,21463.90809999955,21687.553199999795,12820.786549999979,45025.52854999293,123662.7054500061,111832.00010000136,282958.3922996893,1292365.8944224864,4807546.618924544
2044,'B2',0.5,15504.892749998342,24948.3443500006,28973.224850000264,8304.573400000507,54108.532750000195,15978.252749999674,10081.009550000725,39083.9128499976,21030.579199998094,17508.816800000535,21479.512999999566,21687.553199999795,12820.786549999979,45200.06359999293,131065.75765000324,112506.6041500014,291509.9919997162,1332257.7340222471,4938368.683622437
2045,'B2',0.5,15720.44949999832,34372.8650500026,30742.443300000275,8360.300800000503,69019.35060000139,16109.936999999622,10147.437050000734,46767.308650000385,21075.845049998057,20902.835650000914,21481.85219999954,21687.553199999795,12820.786549999979,45767.98499999284,163927.32204998768,116527.97010000267,329208.9645998698,1372160.9772220151,5106927.295919916
2046,'B2',0.5,15672.747749998314,31750.87490000211,26763.92125000032,8298.930950000506,54781.16635000028,15903.47649999971,10069.182700000723,46793.509400000345,20967.118549998075,17230.117750000445,21438.859549999557,21687.553199999795,12820.786549999979,45495.81264999286,140017.54654999665,116106.13295000262,304178.24539978936,1411957.4944217845,5250610.060317486
2047,'B2',0.5,15500.940999998338,24670.810950000538,26726.630350000323,8244.773250000517,49133.99355000026,15921.344749999702,10060.541550000722,38386.78809999743,20944.116799998043,17480.74095000052,21467.037649999555,21687.553199999795,12820.786549999979,45158.03729999291,123271.13065000597,112131.60340000139,283046.05864968867,1451847.5796215562,5373111.0665656
2048,'B2',0.5,15357.56074999837,24449.32920000053,26679.978350000343,8241.752550000518,49478.800950000215,15893.621749999711,10089.638350000721,40946.54679999865,20902.056349998067,17347.37440000047,21464.330199999553,21687.553199999795,12820.786549999979,45174.17199999292,125749.83285000581,111891.81895000138,285359.32939969597,1491712.2260213266,5498000.409263819
2049,'B2',0.5,15722.636999998309,34194.875050002534,30729.37760000028,8318.932850000505,63862.881800000774,16005.975749999672,10112.823650000728,40399.5993999985,20987.131449998087,20963.309250000933,21471.32579999955,21687.553199999795,12820.786549999979,45675.27564999284,152619.48304999608,116121.51670000261,317277.2093498091,1531673.6568210926,5654761.498911499
2050,'B2',0.5,16151.318449998234,34743.416150002595,28671.691050001624,7963.282400000554,65649.40205000404,15493.58059999962,10219.596500001388,45253.50750000383,21016.15445000047,20420.93285000181,19455.877600000345,21645.706799999785,11633.409800000127,45557.38649999752,156506.36354998057,113307.25090000487,318317.8761997664,1573866.9768198917,5816719.264905082
2051,'B2',0.5,16151.318449998234,34743.416150002595,28673.23785000162,7965.792800000554,65665.63145000405,15491.33219999963,10216.764900001386,45345.65970000383,21013.322850000466,20419.96925000181,19449.834000000348,21645.706799999785,11633.409800000127,45554.23369999752,156615.64954998044,113298.63770000488,318415.3961997666,1616029.8872186933,5978843.368898655
