'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2025,'B2',0.1,15580.107249998227,43250.14149999716,34690.7302499974,9872.851250000751,79274.66524999436,15803.656499999654,12650.484249999956,54397.06849999323,23044.65099999642,25544.157999997573,22855.347999998863,26900.006999998724,14496.50325000038,45792.44149999226,191085.46224999725,138459.35474998556,378360.3720000522,495688.17599984596,1918930.6140115848
2026,'B2',0.1,15649.7094999982,43128.86099999722,34570.39274999743,9876.621750000748,79398.56174999436,15794.052749999651,12619.94999999997,54915.897999993045,23029.50874999642,26000.922249997602,22864.99299999886,26900.746749998725,14508.315500000383,45846.14274999228,191890.7894999975,138498.4879999856,379258.5337500531,539903.4420004536,2119506.5190125047
2027,'B2',0.1,15093.914749998376,42961.85699999729,34569.51549999743,9780.12975000075,79479.57099999436,15619.516249999715,12319.436999999967,54274.0642499932,21605.923999996532,25789.085249997584,22850.752249998863,26905.364249998725,14508.315500000383,44251.84224999267,191451.67549999768,137030.81549998606,375757.44675004896,581497.3420020964,2319444.7950074538
2028,'B2',0.1,15069.574499998384,30839.56199999812,34593.730999997424,9782.528000000744,57859.967749996176,15766.530749999654,12305.832999999979,49776.62149999341,21480.449999996574,23186.607499997786,22869.31749999886,26915.91949999872,14510.713750000381,44276.117249992705,155485.0257499923,132277.06149998642,334957.35675004177,622965.5100037341,2478852.0450034267
2029,'B2',0.1,15268.618249998326,43011.107249997294,34666.11099999741,9781.066000000752,79598.70224999437,15791.763999999654,12342.92549999997,55270.93574999295,22904.087999996438,26146.416749997617,23049.84699999877,26919.05749999872,14510.713750000381,44910.33524999254,193633.64524999788,137708.12049998587,379261.3530000537,665234.8540054036,2681936.8814982963
2030,'B2',0.1,15279.144749998322,36742.34670000172,34655.17449999746,9724.406000000734,74181.32419999788,15787.358249999654,12336.167749999964,54304.13229999383,22588.524349996525,27044.966999997552,22854.080749998862,26883.978999998722,14510.713750000381,44567.97899999256,184324.20474999057,134990.88354998815,366892.31930022314,706546.2956070154,2878092.354145777
2031,'B2',0.1,15298.853749998316,36890.55000000171,34721.34449999745,9769.448500000735,74204.8379999979,15786.153749999654,12852.805999999953,54901.75604999367,21899.981599996576,27963.003149997556,22867.238749998854,26900.50099999872,14510.713750000381,44712.36624999248,184078.7500499904,136759.88974998787,368567.1888002293,749499.2708086899,3074254.757543259
2032,'B2',0.1,15311.662749998306,26257.710250000287,34654.740749997465,9625.925250000733,55418.884799997926,15773.887499999655,12296.195999999973,53600.38514999369,22523.56784999654,23541.066349997833,22880.396749998854,26904.82849999872,14510.713750000381,44422.71624999258,155566.86204999636,130356.58134998735,333299.9656501606,790125.6192102788,3237501.643040899
2033,'B2',0.1,15393.881499998286,36561.53810000173,34720.85824999745,9677.478000000727,74214.23039999789,15784.547749999654,12357.84699999996,54983.78179999367,22668.055599996496,27610.136299997586,23042.678749998766,26911.505999998717,14510.713750000381,44836.01699999248,185533.36644998982,135044.75624998772,368437.2532002246,831179.1640118861,3435525.6458883346
2034,'B2',0.1,15324.043749998304,36888.82890000169,34718.04774999745,9671.887500000727,74218.9265999979,15784.146249999654,12606.323749999956,55722.47929999345,22580.687099996507,28501.198349997594,23046.538999998767,26911.505999998717,14513.851750000382,44974.4952499924,185800.1513999897,136704.56734998777,370488.4660002341,874066.9340135598,3633839.354085763
2035,'B2',0.1,15178.797499998343,36613.6029000017,34714.43424999745,9687.969500000727,74218.9265999979,15782.684249999653,12359.058249999975,54838.75229999372,22637.002599996504,27947.13534999761,23046.538999998767,26911.505999998717,14513.851750000382,44339.1359999926,185962.1698999897,135132.77159998773,368450.26025022514,914659.3640151487,3832423.3615331845
2036,'B2',0.1,15310.73324999831,36589.05010000169,34657.00399999747,9687.782000000727,74218.9265999979,15780.903249999654,12355.750249999963,55526.708299993516,21196.550249996624,28015.924899997615,22867.64924999886,26915.04549999872,14513.851750000382,44855.20224999242,184967.69929998982,134789.8643499878,367635.87940022117,955714.6632167567,4029684.981880639
