'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2017,'M1',0.1,16216.203999998155,39265.955499997566,34012.78024999732,9882.827000000754,74710.97099999462,16191.752499999666,12283.177749999983,44564.62874999643,22882.935749996377,24052.22124999773,22774.25974999897,26236.39549999874,14466.205000000367,47511.84624999197,173405.4052499924,133599.94899998594,357540.3140000514,146420.7619999572,490073.3324999679
2017,'M1',0.5,16261.705999998136,39378.09224999754,34016.44399999732,9859.539500000756,74733.6427499946,16189.331999999667,12295.022999999977,44521.849999996404,22913.899749996373,24106.648249997746,22748.921999998976,26272.09149999872,14466.923500000368,47541.40224999198,173432.3654999924,133767.2332499859,357764.11450005183,146558.18999995716,490107.9862499679
2018,'M1',0.2,16300.413999998129,39736.3292499975,34145.55674999731,9890.458000000748,75442.13399999458,16143.090249999666,12325.830249999992,45750.12349999623,23158.544749996323,24072.248499997746,22970.784499998877,26484.416249998718,14434.902500000368,47558.062999992006,175682.3222499933,134591.3337499858,360854.8325000513,192913.8239999424,662489.600251117
2018,'M1',1.0,16320.856749998127,39798.70049999749,34118.48624999731,9870.168000000758,75404.46024999458,16128.43574999966,12272.03349999999,45653.68024999624,23153.59949999633,24162.80699999773,22992.42299999887,26447.295499998727,14490.561250000374,47560.29874999199,175804.2514999933,134425.84374998583,360813.5075000513,192894.8179999424,662454.9465011167
2018,'M1',0.1,16293.035499998135,39789.724499997494,34104.76749999732,9867.168500000755,75415.53749999458,16172.53074999965,12318.754749999987,45627.361249996226,23130.388499996337,24154.69924999774,23013.552749998864,26439.489999998732,14469.343000000368,47570.661999991986,175641.66924999305,134560.90899998584,360796.35375005146,192719.37799994246,662496.5310011171
2018,'M1',0.5,16334.766999998132,39844.69924999748,34102.89499999732,9831.97100000076,75428.78249999456,16168.246749999656,12332.293499999987,45587.60599999622,23176.915999996327,24178.68649999774,22957.922999998882,26478.323999998716,14466.923500000368,47601.81324999198,175652.2744999933,134612.8327499858,360890.0340000512,192868.5019999424,662538.1155011174
2019,'M1',0.2,15968.976499998229,29407.615999998325,33957.98599999739,9833.500750000761,56286.993999996186,16119.506249999662,12291.706499999986,45118.62024999612,22985.031499996396,20468.245499997945,22794.17999999897,26622.31299999871,14441.178500000367,46664.07974999226,146084.5802499907,130600.31949998629,326295.8547500473,237439.03399992822,802892.7337522868
2019,'M1',1.0,16000.392999998223,29365.57999999833,33923.81949999741,9819.05875000076,56317.253749996176,16110.44224999965,12255.23499999998,45060.94849999615,22926.804749996405,20343.02249999797,22779.981749998984,26588.330249998722,14495.357750000374,46649.62124999225,146142.64149999068,130247.08974998636,325986.2277500473,237490.2039999282,802497.6810022835
2019,'M1',0.5,16018.244249998232,29453.674749998303,33936.84374999741,9786.923750000755,57137.38649999611,16146.12474999965,12284.267249999979,44857.49549999613,22911.00174999643,20239.373749997987,22774.178499998976,26612.342999998713,14471.720000000369,46685.84474999225,146547.67274999063,130518.49224998629,326629.57750004705,237558.91799992818,803066.0025022882
2019,'M1',0.1,15939.962749998238,29306.516749998347,33923.04474999741,9830.514000000767,56376.84624999617,16151.469249999644,12261.403749999996,45113.97799999613,22890.47774999642,20496.173749997975,22803.27824999897,26582.922999998733,14471.741250000368,46652.19324999225,146091.41149999067,130506.3647499863,326148.32950004755,237323.53599992825,802691.7420022851
