'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2018,'B1',0.1,16294.699749998139,39758.5659999975,34096.57749999732,9899.419500000753,75355.14399999457,16183.051749999651,12284.872499999994,45731.92549999623,23139.260749996334,24131.733249997727,22956.34374999888,26420.087999998726,14537.761500000377,47571.54524999201,175775.8887499933,134418.89624998585,360789.44375005126,192818.79399994243,662468.8080011168
2018,'B1',0.5,16291.214499998134,39772.961999997504,34125.44099999732,9883.204250000757,75359.39924999457,16194.403999999655,12322.308499999985,45762.12549999625,23179.41749999633,24087.79349999772,22928.26474999889,26471.346999998717,14462.991500000373,47611.146749991996,175707.6547499932,134498.95824998576,360840.8732500513,192767.62399994244,662468.8080011168
2019,'B1',0.1,15933.513999998244,29562.0262499983,33901.384999997426,9849.24650000076,56524.37524999616,16163.45224999964,12262.384999999998,45064.280749996135,22957.082249996416,20499.395999997945,22761.83949999898,26570.198499998733,14537.761500000377,46674.851999992265,146386.15024999066,130634.51124998635,326586.94275004737,237323.53599992825,803163.033002289
2019,'B1',0.5,15957.271999998231,29537.183499998308,33950.502499997405,9855.321750000767,56941.08424999613,16172.683499999643,12294.370999999996,45032.35099999613,22961.840749996405,20439.472749997967,22749.449499998984,26608.503999998717,14462.991500000373,46708.53074999226,146477.50349999068,130850.91074998632,326963.02800004784,237412.71799992822,803433.3322522913
2019,'B1',1.0,16002.652749998218,29754.978999998286,33945.380999997404,9847.681750000758,56374.081249996176,16148.640999999652,12250.56299999999,45072.40574999611,22867.421749996418,20518.661499997965,22807.26899999896,26620.829249998715,14454.579000000369,46671.53049999224,146376.42674999064,130704.96724998628,326665.1460000476,237640.78999992815,802996.6950022876
2019,'B1',0.2,16044.75424999823,29198.197499998336,33922.67574999741,9835.193250000762,56432.929499996164,16123.42974999967,12244.157250000002,45166.56599999613,22980.77099999639,20414.526499997977,22780.079999998983,26619.74699999871,14453.51650000037,46754.34949999226,145829.1549999907,130665.3722499863,326216.54425004753,237709.50399992813,802608.5730022844
2020,'B1',0.2,15497.192999998333,29413.9139999983,30316.92299999789,9760.575000000747,55155.65049999633,15929.32999999974,12246.848000000002,44446.590249995876,21853.778999996517,20471.167499997948,22802.244749998972,26711.983749998708,14455.914750000371,45629.24199999243,140592.8957499911,130274.2917499865,319062.11350004363,281645.52799991413,936884.9235034031
2020,'B1',1.0,15485.40274999833,29339.88724999831,30067.918749997913,9741.761750000727,54827.72874999635,15953.882249999717,12209.728499999992,44321.024499995925,21943.6232499965,20265.82299999796,22739.088249999,26713.065999998707,14454.579000000369,45546.433749992415,139505.79474999115,130334.70949998646,318063.5140000433,281484.7079999142,936358.1865033987
2020,'B1',0.5,15362.409749998344,30174.34599999825,30230.454499997904,9723.520000000733,55023.07099999633,15979.386749999718,12265.040749999991,44618.38874999593,21783.41299999652,20486.759999997936,22762.421999998984,26704.280249998705,14462.991500000373,45499.39174999243,140938.26599999104,130427.5967499865,319576.48425004346,281341.43199991423,938278.0042534147
2020,'B1',0.1,15401.820749998355,29904.013249998243,30074.10499999791,9725.788750000733,54944.742999996335,15939.106999999725,12213.135499999986,44518.925499995945,21869.17449999652,20837.629499997947,22738.14749999899,26659.29724999872,14543.297750000378,45509.160999992426,140765.38099999103,130535.88999998648,319369.18525004364,281262.48399991426,937758.1980034104
2021,'B1',0.5,15688.560999998319,29338.721249998292,34127.94624999742,9872.159250000761,54932.247249996355,16157.168999999632,12332.21724999998,42060.054249995555,21938.252749996485,21418.425249997897,22734.061749999,26782.62699999871,14462.991500000373,46172.78974999236,141969.440499991,130804.8434999864,321845.43375004316,325083.0099999003,1075998.937504562
2021,'B1',0.1,15701.579999998321,30130.557249998223,34095.115749997414,9858.903000000755,55540.06349999631,16147.536249999628,12295.866499999987,42029.62324999552,22056.903999996495,21301.866749997902,22779.606249998982,26728.22999999872,14543.297750000378,46117.76399999237,143188.33224999093,131004.69399998643,323209.1502500433,324957.27799990034,1076893.0042545695
2021,'B1',1.0,15687.729749998316,29960.81324999823,34124.43074999742,9843.868500000755,54729.97424999637,16133.126499999642,12288.488749999984,41938.2014999955,21853.400499996493,21527.350249997908,22815.873749998977,26788.274749998705,14454.579000000369,46092.01124999238,142038.25674999098,131062.03749998639,322146.11150004354,325259.91199990024,1074307.834504548
2021,'B1',0.2,15801.95374999829,30297.719249998223,34105.62524999741,9817.38350000076,55357.143999996326,16111.096749999657,12290.584999999992,42064.18024999556,21993.998749996492,21752.485249997873,22778.818499998986,26787.192499998702,14459.052750000372,46245.60074999234,143447.80699999092,131025.4677499864,323617.2355000433,325411.9599999002,1076345.475004565
2022,'B1',0.2,16028.420249998222,41612.82524999728,34182.844999997404,9908.027500000751,76840.60749999448,16104.27124999965,12302.83924999998,47227.10249999559,23209.096749996384,24282.0449999977,22839.176499998965,26833.9574999987,14459.052750000372,46615.28224999228,180125.29924999463,136066.57199998596,365830.26700005075,369707.6359998861,1257868.7482560773
2022,'B1',0.5,15953.348999998228,41654.646999997276,34228.33599999741,9938.885500000759,76809.53774999449,16153.267499999627,12393.600749999972,47192.18224999561,23221.331999996393,24355.045999997707,22780.99049999898,26826.253999998706,14465.389750000373,46593.6932499923,180193.76924999463,136162.2419999859,365972.8180000505,369494.18399988615,1257536.0722560745
2022,'B1',1.0,16000.40799999822,41754.53199999727,34164.03374999743,9936.910750000747,76789.62974999449,16125.240499999638,12310.799249999975,47115.29899999561,23193.456999996397,24267.1782499977,22854.23074999896,26838.579249998704,14454.579000000369,46555.339749992294,180223.26474999462,136003.15924998594,365804.8772500513,369488.33599988616,1255851.9000060605
2022,'B1',0.1,15973.963749998236,41649.870499997276,34177.34374999742,9953.933000000756,76796.97774999449,16138.188249999623,12374.731499999983,47195.7119999956,23156.189249996412,24327.718749997694,22762.438499999,26774.994999998715,14543.297750000378,46542.17924999229,180255.5804999946,136004.48649998594,365825.3597500508,369269.0359998862,1258409.3467560818
2023,'B1',1.0,16263.976249998133,41825.109249997324,34263.934749997425,9931.062750000749,76980.11899999448,16121.626999999637,12539.938499999973,48475.170499995176,23187.95174999641,24331.743749997695,22845.50949999897,26879.8392499987,14456.97725000037,47438.86499999201,180888.2509999951,136752.72999998578,368102.95950005174,414870.2779998717,1438823.7000075849
2023,'B1',0.5,16238.035749998142,41758.047249997326,34268.59874999743,9942.023500000758,77001.25274999447,16150.714499999627,12594.571249999972,48510.38049999519,23241.206499996402,24312.4839999977,22757.524499999,26883.9437499987,14470.926000000374,47487.98124999199,180875.10349999505,136743.5107499858,368129.7090000516,414884.8979998717,1440500.9415075989
2023,'B1',0.2,16313.239749998133,41676.349999997336,34228.83949999741,9910.95150000075,77032.32249999448,16099.597249999651,12466.225749999983,48521.60774999518,23273.931499996386,24331.732999997694,22828.30774999898,26879.0952499987,14462.190750000373,47504.702499991996,180793.3662499951,136703.20999998588,368024.3922500518,415057.41399987164,1440826.6867576016
2023,'B1',0.1,16217.026749998158,41770.01174999732,34234.418749997414,9957.071000000755,76983.92749999448,16139.36224999962,12507.904499999993,48545.30599999517,23248.3314999964,24404.060999997684,22798.88849999899,26820.132749998716,14548.83400000038,47432.19999999201,180916.04274999507,136803.91999998578,368175.2762500513,414735.77399987174,1441408.8697576064
2024,'B1',0.5,15948.389749998232,42001.133499997304,34537.61199999737,9875.182000000763,77154.84574999446,16119.458749999649,12401.73799999998,48138.530999995244,23194.75249999642,24379.76049999769,22972.8184999989,26898.979249998698,14470.926000000374,46672.50674999225,181536.52324999543,136861.98399998582,368094.1275000514,459388.1779998575,1624553.9385091322
2024,'B1',0.2,16057.058249998217,41906.422249997326,34505.47774999735,9819.059500000765,77189.45499999447,16077.13574999967,12358.740749999986,48185.22124999522,23246.049249996402,24347.250499997685,23034.50224999888,26894.1307499987,14467.727000000372,46715.75124999224,181482.97849999525,136866.3869999858,368088.2302500513,459572.38999985746,1624914.3375091353
2024,'B1',1.0,15927.144749998244,42118.448999997294,34529.13574999737,9863.810750000755,77128.94674999447,16092.89374999966,12292.725999999975,48055.728749995236,23107.98174999644,24317.807249997688,23051.051749998875,26901.5522499987,14468.049750000373,46568.49249999225,181579.53024999547,136684.14199998588,367855.27825005155,459193.7319998576,1622828.1817591179
2024,'B1',0.1,15939.209999998247,41997.41749999731,34489.96224999736,9869.351000000754,77142.28574999447,16136.230999999621,12315.282999999983,48099.80674999525,23159.949999996443,24351.195999997683,23012.731249998884,26835.168249998715,14554.370250000378,46628.892999992255,181579.0617499955,136678.8254999859,367902.9630000512,459091.3919998576,1625475.72825914
2025,'B1',0.5,16234.690999998144,42603.806249997164,34571.38124999738,9958.516000000756,77301.34274999447,16146.974499999624,12652.211499999961,49152.410749994895,23295.899749996417,24372.799249997683,22795.03099999899,26902.856999998698,14470.926000000374,47479.700249992,182103.1999999955,137852.83324998556,370458.8470000516,505303.7499998429,1809743.578510675
2025,'B1',0.2,16311.302249998134,42563.18899999717,34536.72224999736,9917.01350000075,77340.71724999447,16097.720749999648,12610.612999999961,49154.60424999489,23372.429749996387,24353.04574999768,22867.788999998964,26907.084249998697,14467.727000000372,47516.499999992,182027.8819999955,137932.46249998556,370499.95800005127,505547.9039998428,1810124.7697606783
2025,'B1',1.0,16254.44299999814,42724.04574999716,34571.13599999737,9940.048750000748,77276.66949999447,16120.007999999636,12593.771499999963,49104.97624999488,23279.19499999641,24345.933999997687,22868.54849999897,26910.9662499987,14471.187750000374,47429.641999992,182149.1369999955,137859.03774998558,370460.9302500517,505100.53199984296,1808024.7525106608
2025,'B1',0.1,16245.97924999815,42616.172249997166,34526.003249997375,9966.057000000756,77294.77374999446,16136.02374999962,12600.336249999971,49160.41449999489,23291.04074999641,24389.91474999768,22825.25524999898,26841.444249998713,14554.370250000378,47449.22224999201,182147.6629999955,137827.78649998555,370447.78525005135,505036.203999843,1810665.3682606828
2026,'B1',0.2,16389.66124999812,42502.02599999723,34385.81724999741,9932.06150000075,77450.31799999447,16096.452999999648,12609.746749999988,49378.20224999478,23426.11149999638,24630.5962499977,22867.00349999897,26914.099999998696,14467.727000000372,47592.27324999201,182402.05149999564,138032.38599998565,371049.82425005094,551361.1360009061,1996180.7535122284
2026,'B1',0.5,16312.772749998136,42551.415249997226,34444.965999997425,9965.300250000755,77410.94349999446,16145.706749999625,12665.840999999979,49385.84124999477,23386.922999996405,24710.167499997715,22805.45924999898,26910.274249998693,14473.324250000374,47577.450499992,182495.73874999577,138072.63224998562,371168.93500005157,551191.5440008994,1995806.4930122253
2026,'B1',1.0,16329.216749998135,42656.63324999722,34419.60249999743,9948.820750000745,77391.03549999447,16117.278249999636,12598.120749999982,49320.78449999476,23336.12499999641,24701.291249997714,22884.64399999896,26911.7059999987,14471.187750000374,47520.33499999202,182509.00724999586,138033.99049998564,371086.44625005167,550896.2200008878,1994087.667012211
2026,'B1',0.1,16309.842499998147,42570.030749997226,34386.473999997426,9973.581000000755,77404.37449999446,16131.83199999962,12587.435749999986,49389.71649999477,23341.50724999641,24699.94999999771,22821.866499998974,26847.720249998714,14556.768500000378,47524.36124999202,182524.57749999594,137949.04724998566,371021.09950005123,550824.5820008849,1996721.3520122329
2027,'B1',0.5,15736.700749998305,42409.083749997306,34430.177749997434,9861.498250000766,77511.01374999447,15963.178999999718,12361.155999999975,48473.25674999492,22100.892499996524,24328.41924999769,22725.197249999004,26914.151999998692,14481.998500000376,45884.3482499924,181810.613249996,136585.5812499861,367296.72550004884,594210.8940025985,2180926.825510953
2027,'B1',0.2,15834.435999998284,42382.025999997306,34406.54549999741,9845.803500000764,77550.38824999446,15901.525749999722,12341.521999999977,48532.869749994905,22017.67074999653,24357.90899999767,22831.162749998985,26917.977749998696,14467.727000000372,45961.712249992386,181674.71049999603,136741.88924998607,367387.5640000483,594649.4940026158,2181204.055510946
2027,'B1',0.1,15714.000749998322,42428.100749997306,34380.14449999743,9880.949250000749,77504.44474999447,15974.080999999693,12288.544499999978,48464.01749999492,22044.698249996556,24417.216249997677,22792.53749999899,26852.337749998707,14556.768500000378,45851.8914999924,181890.460749996,136546.2369999861,367297.8412500486,593855.6280025844,2181917.922760928
2027,'B1',1.0,15747.994999998298,42496.098749997305,34397.77524999744,9833.322750000758,77491.10574999447,15977.79699999968,12366.10774999998,48387.37399999492,22065.417999996545,24412.709499997683,22862.16124999898,26916.323499998696,14476.724000000373,45857.79724999241,181907.835249996,136649.09724998608,367430.91250004875,593991.5940025898,2179318.8915109937
2028,'B1',0.1,15782.931249998295,30744.07574999813,34428.715499997415,9869.253250000753,55604.14899999635,16117.154499999628,12342.049499999974,43377.20374999499,21955.411999996584,21445.26474999787,22800.620999998988,26859.353499998706,14559.90650000038,46044.6319999924,144786.40974999097,132149.7577499864,325886.09025004104,636902.7560042846,2325793.3620072934
2028,'B1',1.0,15730.684999998302,30662.57624999812,34448.81024999743,9865.486750000753,55953.37449999633,16100.881249999646,12348.519249999965,43481.017249994984,22086.880749996537,21310.403499997876,22858.607249998975,26917.063249998697,14479.122250000373,46006.6624999924,144999.34699999093,132318.26574998637,326243.4275000413,636951.0020042865,2323610.1757573485
2028,'B1',0.2,15808.638499998297,30335.381499998162,34446.68524999741,9841.417500000765,55573.854249996344,16086.986749999654,12328.21999999998,43590.11049999505,22117.26799999654,21516.53674999786,22839.414999998982,26924.993499998698,14467.727000000372,46029.961499992394,144884.06374999095,132071.77999998644,325877.23450004123,637677.6160043152,2325079.4947573114
2028,'B1',0.5,15760.964499998292,31143.069249998105,34470.60874999743,9874.130500000763,55855.459749996335,16129.309749999631,12366.090749999988,43399.957999994986,21836.76549999658,21339.450249997873,22791.32649999899,26921.167749998694,14487.534750000375,46110.232249992376,145125.83574999092,132255.26949998643,326375.8360000416,637114.746004293,2325315.1402573055
2029,'B1',0.5,15966.25774999823,42629.91574999731,34611.6192499974,9865.572500000766,77720.68474999444,16138.898749999624,12384.617999999979,49232.89024999468,23361.750499996426,24342.376249997662,22987.448499998893,26925.045499998694,14487.534750000375,46736.360499992225,183471.90624999645,137437.09374998586,370654.612500052,680854.8620060205,2513256.2880025576
2029,'B1',0.1,15934.451249998252,42623.275749997316,34572.76799999738,9879.48725000075,77718.88099999445,16127.80399999962,12306.559999999981,49193.18524999469,23355.17624999642,24389.95324999767,23016.351999998882,26869.507249998704,14559.90650000038,46640.24649999227,183492.32449999644,137398.5539999859,370547.3077500517,680658.9540060128,2513727.5790025457
2029,'B1',0.2,16029.675499998228,42570.69399999732,34570.937249997376,9825.335500000765,77764.82449999444,16091.106999999647,12329.75199999998,49188.793499994696,23437.5787499964,24371.437999997666,23053.51149999888,26925.733249998695,14470.865000000373,46733.13899999225,183410.32899999642,137470.5949999859,370630.24575005117,681506.9140060463,2513013.7117525637
2029,'B1',1.0,15986.00699999822,42764.77524999729,34612.418749997385,9849.404750000756,77700.77674999446,16113.394249999634,12335.288249999974,49142.28999999468,23337.18049999642,24338.28749999767,23064.922249998875,26917.802999998697,14485.398250000375,46644.42799999226,183501.48849999643,137485.84724998585,370647.94650005194,680755.4460060166,2511537.462002601
2030,'B1',0.5,15941.910249998245,37986.712150001054,34515.62649999743,9873.096500000765,73546.11664999693,16136.891249999624,12361.081999999971,49041.451549994796,23405.886999996455,24415.07474999768,22797.388499998982,26928.183499998693,14487.534750000375,46549.45474999231,176183.04524999432,135681.34184998798,361436.955350193,724118.6584077142,2692734.989999848
2030,'B1',1.0,15968.64874999823,38100.51485000113,34481.36224999743,9862.562750000754,73527.59479999692,16111.386749999634,12350.905499999977,48959.8595499948,23365.614249996466,24380.94299999767,22862.132249998984,26920.940999998696,14485.398250000375,46493.04799999231,176209.93319999427,135651.76924998796,361377.8639501927,724013.97920771,2690995.371749892
2030,'B1',0.2,16031.750749998224,37950.59725000103,34442.404999997416,9848.727500000763,73577.34679999693,16089.099499999647,12343.167499999978,48996.27344999482,23433.14059999645,24319.72249999766,22860.32024999898,26929.610999998695,14474.003000000374,46572.3984999923,176065.32789999436,135635.32519998797,361296.16510019184,724747.026007739,2692478.5522498544
