'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2023,'M1',0.2,15566.024249998225,41840.89149999731,34278.48299999741,9878.75050000075,76923.57674999449,15830.945499999658,12539.639999999974,48467.45999999519,22657.732749996405,24333.364999997473,22818.069249998873,26903.367249998715,14443.67075000037,45771.24524999226,181037.0327499948,136650.58499998582,366481.9765000498,408323.4419998738,1442282.1442576137
2023,'M1',0.5,15595.793499998226,41868.0732499973,34277.43499999742,9850.389250000751,76916.60974999449,15827.170249999652,12581.934999999976,48509.16749999517,22632.724499996413,24327.55749999748,22837.14749999886,26896.159249998713,14441.657000000381,45815.20824999224,180937.83649999485,136785.6609999858,366561.81925005035,408427.24399987375,1442670.266257617
2023,'M1',1.0,15539.741749998235,41770.05524999732,34295.96449999741,9871.13925000075,77054.78674999447,15838.89424999966,12560.601999999983,48379.347249995175,22646.646749996416,24372.958999997478,22836.224499998865,26949.140499998706,14439.515750000373,45833.83124999225,180817.37424999484,136880.6984999858,366555.0175000502,408389.23199987377,1441374.2160076061
2024,'M1',0.2,15257.478999998328,42092.1129999973,34481.13324999737,9774.333000000746,77079.48349999447,15817.492249999656,12343.729749999971,48082.831749995246,22568.111249996433,24408.89849999749,22991.97324999878,26924.678749998715,14443.67075000037,44888.84999999254,181649.1777499951,136704.78674998585,366265.92800004873,451088.40399986017,1626536.1330091488
2024,'M1',0.1,15224.04499999833,42000.36624999731,34470.348999997375,9777.947250000741,77088.70874999448,15806.22124999966,12302.503999999984,48137.30974999524,22592.69799999644,24466.71699999749,23013.27249999878,26873.68574999873,14504.17750000038,44867.64549999256,181589.4414999951,136777.8014999859,366258.00200004916,451383.7279998601,1626023.2575091445
2024,'M1',1.0,15214.391749998336,41984.98424999731,34483.28949999737,9795.11525000075,77211.91924999446,15823.215249999655,12341.85424999998,48002.89774999523,22619.22774999643,24393.809499997464,23019.890999998774,26967.313999998703,14439.515750000373,44990.18999999251,181422.44024999495,136861.68149998583,366297.4252500489,451060.6259998602,1625676.7200091416
2024,'M1',0.5,15283.003499998324,42090.456249997296,34470.76999999738,9753.28175000074,77065.43749999448,15815.77049999965,12362.303499999973,48094.78424999524,22593.69749999643,24335.035999997483,23009.589499998772,26919.86899999871,14441.657000000381,44961.30524999251,181542.90249999508,136708.33499998585,366235.65625004907,451053.3159998602,1627007.4240091527
2025,'M1',0.1,15559.696249998222,42602.61524999717,34499.48999999738,9887.597250000748,77236.43149999448,15819.47399999966,12586.13874999996,49192.14774999488,22733.137999996427,24460.96024999748,22829.477749998878,26874.42549999873,14504.17750000038,45757.15499999228,182132.67999999525,137872.82124998554,368785.76975005015,495650.163999846,1811510.9197606898
2025,'M1',0.2,15577.565499998229,42661.538999997174,34511.552749997376,9869.363000000752,77227.20624999447,15825.208749999658,12633.703749999957,49110.293249994895,22811.429749996398,24444.479249997486,22789.22674999889,26931.694499998714,14446.06900000037,45782.683749992255,182192.41624999527,137841.11799998558,368839.33150004986,495403.08599984605,1812037.6567606942
2025,'M1',0.5,15594.961749998229,42667.99524999717,34518.26299999738,9848.525750000752,77213.16024999447,15817.09099999965,12694.585749999967,49154.00824999488,22760.07424999641,24317.325749997475,22832.35599999887,26920.60874999871,14441.657000000381,45792.666249992246,182081.3757499953,137883.4572499855,368780.61275005003,495302.2079998461,1812495.086260698
