climat_code,Nam,thang,tmax_avg,tmax_max,pre_min
1,2045,2,32.32,35.41,0
1,2045,3,33.88,36.43,0
1,2045,4,35.25,38.97,0
1,2045,5,34.49,37.92,6
1,2045,6,32.89,35.63,66.6
1,2045,7,32.26,33.99,80.7
1,2045,8,32.01,34.02,0
1,2045,9,31.9,34.52,102.3
1,2045,10,31.98,33.78,128.1
1,2045,11,31.94,33.87,20.4
1,2045,12,30.87,32.71,2.1
1,2046,1,31.52,32.91,0
1,2046,2,32.15,33.9,0
1,2046,3,33.87,36.57,0
1,2046,4,35.33,40,0
1,2046,5,34.78,39.49,0
1,2046,6,33.32,36.04,37.2
1,2046,7,32.19,33.67,0
1,2046,8,32.1,33.97,41.7
1,2046,9,31.9,33.19,100.5
1,2046,10,31.95,33.45,127.5
1,2046,11,31.8,34.44,34.8
1,2046,12,31.16,33.53,0
1,2047,1,31.4,34.03,0
1,2047,2,32.24,34.64,0
1,2047,3,34.03,37.48,0
1,2047,4,35.38,40.03,0.3
1,2047,5,34.89,38.82,0
1,2047,6,33.48,35.09,0
1,2047,7,32.19,33.72,81.9
1,2047,8,32.12,34.17,72.6
1,2047,9,32.05,33.41,52.2
1,2047,10,32.1,33.85,47.4
1,2047,11,31.79,34.65,32.1
1,2047,12,31.19,33.94,2.1
1,2048,1,31.48,34.85,0
1,2048,2,32.07,33.82,0
1,2048,3,33.62,35.46,0
1,2048,4,35.32,39.81,0.3
1,2048,5,35.15,39.85,0
1,2048,6,33.3,34.94,0
1,2048,7,32.51,34.38,0
1,2048,8,32.04,33.86,0
1,2048,9,31.87,33.97,117.9
1,2048,10,32.1,33.49,0
1,2048,11,32.04,35.17,40.2
1,2048,12,31,32.92,0
1,2049,1,31.64,34.04,0
1,2049,2,32.48,34.26,0
1,2049,3,34.03,35.98,0
1,2049,4,35.55,39.07,1.2
1,2049,5,34.81,40.16,30
1,2049,6,33.45,35.72,0
1,2049,7,32.6,34.5,0
1,2049,8,32.13,34.21,93
1,2049,9,32.25,34.14,39.3
1,2049,10,32.19,33.51,165
1,2049,11,32.05,33.59,18.6
1,2049,12,30.94,34.15,0
1,2050,1,31.28,33.17,0
1,2050,2,32.18,34.83,0
1,2050,3,33.87,36.37,0
1,2050,4,35.25,38.7,0
1,2050,5,34.53,39.01,34.8
1,2050,6,33.61,36.82,33.6
1,2050,7,32.19,33.55,69.9
1,2050,8,32.27,34.05,81.3
1,2050,9,31.86,34.09,170.7
1,2050,10,31.98,33.49,134.1
1,2050,11,31.6,32.82,13.5
