climat_code,Nam,thang,tmax_avg,tmax_max,ttb,pre_min
1,2033,12,31.02366667,32.54,26.6,0
1,2034,1,30.98333333,32.76,26.77,0
1,2034,2,32.077,33.48,26.09,0
1,2034,3,33.59666667,34.88,28.63,0
1,2034,4,34.772,36.03,29.72,0
1,2034,5,34.20366667,36.71,29.76,13.2
1,2034,6,32.81,34.93,29.77,0
1,2034,7,32.12433333,33.89,27.81,0
1,2034,8,31.414,33.52,28.88,0
1,2034,9,31.658,32.84,28.25,0
1,2034,10,31.89166667,33.25,28.52,0
1,2034,11,31.42066667,32.99,27.88,8.4
1,2034,12,30.42833333,32.35,26.36,0
1,2035,1,31.18733333,32.65,25.78,0
1,2035,2,32.37333333,34.54,25.9,0
1,2035,3,33.706,35.39,28.52,0
1,2035,4,34.79533333,36.29,29.39,0.3
1,2035,5,34.16066667,36.51,28.87,0
1,2035,6,32.84233333,35.37,29.61,34.8
1,2035,7,32.04933333,33.68,28.14,0
1,2035,8,31.768,33.46,27.92,80.4
1,2035,9,31.66066667,33.06,29.27,57.9
1,2035,10,31.694,32.97,27.92,154.8
1,2035,11,31.36666667,33.1,28.69,14.1
1,2035,12,30.60466667,32.66,27.08,0
1,2036,1,31.05166667,33.07,28.15,0
1,2036,2,32.18066667,33.48,28.7,0
1,2036,3,33.66,34.66,28.44,0
1,2036,4,34.798,36.1,30.42,0
1,2036,5,34.284,36.58,28.53,12.6
1,2036,6,32.863,35.11,28.04,6
1,2036,7,32.12533333,34.21,27.61,20.7
1,2036,8,31.872,34.07,27.95,0
1,2036,9,31.823,32.98,28.49,41.1
1,2036,10,31.715,33.52,29.21,102.6
1,2036,11,31.67333333,33.82,28.42,13.8
1,2036,12,30.58366667,32.94,26.77,0
1,2037,1,31.473,33.22,26.66,0
1,2037,2,32.08733333,33.67,26.69,0
1,2037,3,33.792,34.94,28.67,0
1,2037,4,35.002,36.65,30.05,0
1,2037,5,34.01566667,37.01,29.68,0
1,2037,6,32.657,35.23,29.72,34.5
1,2037,7,32.14566667,34.49,29.47,11.4
1,2037,8,31.70533333,33.59,28.33,0
1,2037,9,31.55833333,32.63,28.55,104.4
1,2037,10,31.683,33.06,29.25,124.8
1,2037,11,31.499,33.45,27.82,0
1,2037,12,30.55233333,32.48,26.42,0
1,2038,1,31.22966667,32.68,26.25,0
1,2038,2,32.15533333,34.21,26.56,0
1,2038,3,33.82566667,35.17,28.45,0
1,2038,4,34.626,36.34,30.03,0
1,2038,5,33.971,37.66,29.07,0
1,2038,6,32.645,35.64,29.2,46.2
1,2038,7,32.04166667,34.36,28.03,0
1,2038,8,31.67633333,33.45,27.93,0
1,2038,9,31.873,33.67,28.58,0
1,2038,10,31.977,33.06,28.68,0
1,2038,11,31.69033333,33.74,28.23,0
1,2038,12,31.104,33.79,26.65,0
1,2039,1,31.231,32.54,25.88,0
1,2039,2,32.20233333,33.83,25.7,0
1,2039,3,33.89566667,35.45,28.36,0
1,2039,4,34.77433333,36.39,30.05,0
1,2039,5,34.491,36.58,30.75,16.2
1,2039,6,32.95466667,34.56,28.79,0
1,2039,7,32.1,34,28.66,30.6
1,2039,8,31.83166667,33.28,28,75.9
1,2039,9,32.01633333,33.15,28.92,0
1,2039,10,31.76666667,33.75,28.29,128.1
1,2039,11,31.78,33.5,28.7,0
1,2039,12,30.92833333,32.66,26.48,0
1,2040,1,31.33933333,33.41,26.65,0
1,2040,2,32.56233333,33.93,27.69,0
1,2040,3,33.94433333,35.73,28.97,0
1,2040,4,34.93333333,36.85,30.51,0.3
1,2040,5,34.298,37.01,29.94,0
1,2040,6,32.98933333,34.6,29.49,37.5
1,2040,7,32.18833333,33.59,29.37,42
1,2040,8,31.822,33.07,28.29,24.9
1,2040,9,31.975,33.27,27.92,0
1,2040,10,31.66666667,32.97,28.32,0
1,2040,11,31.73766667,33.43,28.07,15
1,2040,12,30.93333333,34.01,27.58,0
1,2041,1,31.25966667,33.35,27.21,0
1,2041,2,32.096,33.77,27.55,0
1,2041,3,33.70566667,34.97,29.45,0
1,2041,4,34.938,36.33,31.07,0
1,2041,5,34.18966667,36.34,30.63,9
1,2041,6,32.87766667,35.78,30.58,0
1,2041,7,32.01233333,33.35,28.97,0
1,2041,8,31.81966667,33.38,28.99,0
1,2041,9,31.839,33.28,29,20.1
1,2041,10,31.82166667,33.64,29.08,0
1,2041,11,31.70833333,34.42,26.81,0
1,2041,12,31.149,33.61,25.73,0
1,2042,1,31.26733333,33.37,26.1,0
1,2042,2,32.37833333,33.59,26.88,0
1,2042,3,33.68166667,35.45,29.85,0
1,2042,4,35.121,36.85,30.73,0
1,2042,5,34.38366667,36.9,31.21,0
1,2042,6,32.898,34.55,29.57,0
1,2042,7,32.13866667,33.73,28.16,0
1,2042,8,32.143,33.85,28.54,0
1,2042,9,31.91933333,34.03,28.05,133.5
1,2042,10,32.057,33.08,28.21,49.2
1,2042,11,31.70233333,33.07,28.1,0
1,2042,12,30.80166667,33.46,26.48,0
1,2043,1,31.595,33.31,27.21,0
1,2043,2,32.49,35.04,26.41,0
1,2043,3,33.95733333,35.21,27.77,0
1,2043,4,34.958,36.97,30.03,0
1,2043,5,34.39666667,37.98,29.75,28.8
1,2043,6,33.11433333,35.23,29.15,0
1,2043,7,32.50633333,34.33,29.08,0
1,2043,8,32.123,33.53,28.18,73.5
1,2043,9,32.23666667,33.39,27.86,14.7
1,2043,10,32.06733333,33.09,28.11,0
1,2043,11,32.019,33.51,27.43,28.2
1,2043,12,31.369,34.93,27.39,0
1,2044,1,31.635,33.22,27.02,0
1,2044,2,32.70433333,34.29,27.17,0
1,2044,3,34.05733333,36.01,28.83,0
1,2044,4,35.33133333,37.07,30.12,0
